author_id;author_name;gender;img_url;about;country_name;country_region;country_id
1;J.K. Rowling;female;https://images.gr-assets.com/authors/1489266848p7/8409092.jpg;Jason Wallace is related to Tolkien and a descendant o one o the irst International English cricketers and also o the world-renowned Victorian circus owner 'Lord' George Sanger. He was born in Cheltenham in 1969 but moved to London ater his parents split up. Aged 12 his lie was turned upside down when his mother remarried and the amily emigrated to Zimbabwe. It was this experience in a tough boarding school during the atermath o the war or independence that orms the oundation o his incredible irst novel Out o Shadows. And he did actually meet Robert Mugabe when he visited his school.Jason is currently a web designer living in South West London with his partner and son.;South Africa;Africa;1
2;Douglas Adams;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Germany;Europe;2
3;Bill Bryson;male;https://images.gr-assets.com/authors/1409085874p7/8421525.jpg;Danish YA writer. I make up stories about time travel riendship love and mysterious adventures. I like to read books that make me cry or laugh or both.Danish Social Media:Instagram: a target=;South Africa;Africa;1
4;J.R.R. Tolkien;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;India;Asia;3
5;Chris   Smith;male;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;South Africa;Africa;1
6;Jude Fisher;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Brazil;South America;4
7;Dave Thomas;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Japan;Asia;5
8;Mark   Watson;male;https://images.gr-assets.com/authors/1449663908p7/7271316.jpg;Phil Hamman is the co-author o the #1 national best selling true crime book =;Japan;Asia;5
9;Gary Paulsen;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Brazil;South America;4
10;Molly Hatchet;male;https://images.gr-assets.com/authors/1442654041p7/6830758.jpg;;Japan;Asia;5
11;Dale Peck;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Japan;Asia;5
12;Bud Cheff Sr.;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Japan;Asia;5
13;Angela Knight;female;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;Mary Kelly was an English crime writer best known or the Inspector Brett Nightingale series. Writing in the 1950s and 1960s Kelly was celebrated or the sense o rereshingly dark suspense in her mysteries. Her novel  published in 1961 won the Gold Dagger Award.;United Kingdom;Europe;6
14;Delia Sherman;male;https://images.gr-assets.com/authors/1355163102p7/2442433.jpg;;South Africa;Africa;1
15;Patricia A. McKillip;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Japan;Asia;5
16;Zilpha Keatley Snyder;male;https://s.gr-assets.com/assets/nophoto/user/m_333x500-a9c67bed07ee7e10983a5d5ccc572516.png;;Spain;Europe;7
17;Elaine Cunningham;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Spain;Europe;7
18;Philippa Carr;unknown;https://images.gr-assets.com/authors/1446457802p7/14424511.jpg;;Spain;Europe;7
19;Edward P. Jones;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;France;Europe;8
20;Satyajit Das;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Germany;Europe;2
21;Mark Smylie;female;https://images.gr-assets.com/authors/1285003633p7/485959.jpg;;Brazil;South America;4
22;Wendy Wasserstein;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Brazil;South America;4
23;Heidi Hayes Jacobs;female;https://images.gr-assets.com/authors/1306932379p7/784262.jpg;;Australia;Oceania;9
24;Heidi Boyd;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;United Kingdom;Europe;6
25;Heidi Baker;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Italy;Europe;10
26;Johanna Spyri;male;https://images.gr-assets.com/authors/1358858382p7/5764901.jpg;Author o TINCTURE (a target=;Italy;Europe;10
27;Heidi Betts;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Spain;Europe;7
28;Rolland Baker;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;United Kingdom;Europe;6
29;Heidi Murkoff;female;https://images.gr-assets.com/authors/1342131944p7/6433869.jpg;;South Africa;Africa;1
30;Heidi Fleiss;male;https://images.gr-assets.com/authors/1357138688p7/201029.jpg;Australian art historian art critic and artist who currently lives and works in Pittsburgh New York and Sydney.;Australia;Oceania;9
31;Heidi W. Boehringer;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;United Kingdom;Europe;6
32;Frank Herbert;unknown;https://images.gr-assets.com/authors/1536472717p7/590653.jpg;Dr. Mary Chayko is a sociologist Teaching Proessor o communication and inormation and Director o Undergraduate Interdisciplinary Studies at the School o Communication and Inormation (SC&amp;United States;North America;11
33;Brian Herbert;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;Spain;Europe;7
34;James Van Hise;male;https://s.gr-assets.com/assets/nophoto/user/m_333x500-a9c67bed07ee7e10983a5d5ccc572516.png;Used These Alternate Names: Alistair Bevan  John Kingston  David Stringer Keith John Kingston Roberts was a British science iction author. He began publishing with two stories in the September 1964 issue o Science Fantasy magazine ;Germany;Europe;2
35;Gary Russell;male;https://images.gr-assets.com/authors/1577987307p7/16224815.jpg;Shuho Sato (=;Germany;Europe;2
36;Susan E. Tifft;unknown;https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png;;South Africa;Africa;1
