Id;Title;pagesNumber;Publisher;CountsOfReview;PublishYear;Language;Authors;Rating;ISBN
1;Harry Potter and the Half-Blood Prince (Harry Potter #6);652;Scholastic Inc.;28062;2006;eng;J.K. Rowling;5;439834604
2;Harry Potter and the Order of the Phoenix (Harry Potter #5);870;Scholastic Inc.;29770;2004;eng;J.K. Rowling;4;439358078
3;Harry Potter and the Sorcerer's Stone (Harry Potter #1);309;Scholastic Inc;75911;2003;eng;J.K. Rowling;4;432127604
4;Harry Potter and the Chamber of Secrets (Harry Potter #2);352;Scholastic;244;2003;eng;J.K. Rowling;4;439554896
5;Harry Potter and the Prisoner of Azkaban (Harry Potter #3);435;Scholastic Inc.;37093;2004;eng;J.K. Rowling;4;043965548X
6;Harry Potter and the Goblet of Fire (Harry Potter #4);734;Scholastic;31978;2002;eng;J.K. Rowling;3;439827204
8;Harry Potter Boxed Set Books 1-5 (Harry Potter #1-5);2690;Scholastic;166;2004;eng;J.K. Rowling;4;439682584
10;Harry Potter Collection (Harry Potter #1-6);3342;Scholastic;809;2005;eng;J.K. Rowling;4;439827604
12;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5);815;Gramercy Books;255;2005;eng;Douglas Adams;3;517226952
13;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5);815;Del Rey Books;4119;2002;eng;Douglas Adams;2;345453743
14;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1);215;Crown;470;2004;eng;Douglas Adams;1;1400052920
18;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5);815;Wings Books;194;1996;eng;Douglas Adams;0;517149257
21;A Short History of Nearly Everything;544;Broadway Books;9545;2004;eng;Bill Bryson;4;076790818X
22;Bill Bryson's African Diary;55;Broadway Books;503;2002;eng;Bill Bryson;4;767915062
23;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right;256;Broadway Books;131;2004;eng;Bill Bryson;1;767910435
24;In a Sunburned Country;335;Broadway Books;4298;2001;eng;Bill Bryson;2;767903862
25;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away;304;Broadway Books;2224;2000;eng;Bill Bryson;3;767903282
26;The Lost Continent: Travels in Small Town America;299;William Morrow Paperbacks;2276;1990;eng;Bill Bryson;1;60920084
27;Neither Here nor There: Travels in Europe;254;William Morrow Paperbacks;2264;1993;eng;Bill Bryson;2;380713802
28;Notes from a Small Island;324;William Morrow Paperbacks;3335;1997;eng;Bill Bryson;0;380727501
29;The Mother Tongue: English and How It Got That Way;270;William Morrow Paperbacks;2123;1991;eng;Bill Bryson;4;380715430
30;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;1728;Ballantine Books;1548;2012;eng;J.R.R. Tolkien;1;345538374
31;The Lord of the Rings (The Lord of the Rings #1-3);1184;Houghton Mifflin Harcourt;90;2004;eng;J.R.R. Tolkien;1;618517650
34;The Fellowship of the Ring (The Lord of the Rings #1);398;Houghton Mifflin Harcourt;13935;2003;eng;J.R.R. Tolkien;2;618346252
36;The Lord of the Rings: Weapons and Warfare;218;Houghton Mifflin Harcourt;45;2003;eng;Chris   Smith;4;618391002
37;The Lord of the Rings: Complete Visual Companion;224;Houghton Mifflin Harcourt;6;2004;eng;Jude Fisher;4;618510826
45;Agile Web Development with Rails: A Pragmatic Guide;558;Pragmatic Bookshelf;59;2005;eng;Dave Thomas;3;097669400X
46;Ruby Quickly: Ruby and Rails for the Real World;360;Manning Publications;0;2006;;Mark   Watson;4;1932394745
50;Hatchet (Brian's Saga #1);208;Atheneum Books for Young Readers: Richard Jackson Books;12157;2000;eng;Gary Paulsen;5;689840926
53;Guts: The True Stories behind Hatchet and the Brian Books;144;Delacorte Press;336;2001;eng;Gary Paulsen;3;385326505
54;Molly Hatchet - 5 of the Best;56;Cherry Lane Music Company;0;2003;eng;Molly Hatchet;5;1575606240
55;Hatchet Jobs: Writings on Contemporary Fiction;228;The New Press;16;2005;en-US;Dale Peck;5;1595580271
56;The Woodsman and His Hatchet: Eighty Years on Back Country Survival;150;Stoneydale Press;0;1996;;Bud Cheff Sr.;4;912299622
57;A Changeling for All Seasons (Changeling Seasons #1);304;Changeling Press;4;2005;eng;Angela Knight;3;1595962808
58;Changeling (Changeling #1);256;Viking Juvenile;112;2006;eng;Delia Sherman;1;670059676
59;The Changeling Sea;137;Firebird;306;2003;eng;Patricia A. McKillip;3;141312629
61;The Changeling;228;iUniverse;97;2004;eng;Zilpha Keatley Snyder;4;595321801
